共 178 家门店

企迈ID       门店编码         门店名称                                经营状态    
----------------------------------------------------------------------
588484     588484       象子茶铺茶(昆明西山区公园1903店)                 待开业     
587326                  象子茶铺茶（长水到达厅）                        待开业     
586895                  象子茶铺茶(玉溪华宁盘溪镇店)                     正式营业    
586678                  象子茶铺茶（嵩明里外里店）                       正式营业    
585731     585731       象子茶铺茶(昭通吾悦店)                        正式营业    
584849                  象子茶铺茶(文山富宁店)                        正式营业    
584178     584178       象子茶铺茶（呈贡吾悦店）                        正式营业    
583760     583760       象子茶铺茶(白龙派公园店)                       待开业     
583756     583756       象子茶铺茶(昆明盘龙北城天地店)                    正式营业    
582790     582790       象子茶铺茶(昆明西山广福路爱琴海店)                  正式营业    
582116                  象子茶铺茶(长水卫星厅)                        待开业     
581933     581933       象子茶铺茶(迪庆香格里拉月光印巷店)                  正式营业    
581598     581598       象子茶铺茶(建水紫陶街店)                       正式营业    
581513     581513       象子茶铺茶(安宁吾悦店)                        正式营业    
581509     581509       象子茶铺茶(官渡古镇店)                        正式营业    
580831     580831       象子茶铺茶(红河县店)                         正式营业    
580810     580810       象子茶铺茶(楚雄禄丰店)                        正式营业    
580635     580635       象子茶铺茶(昭通金池购物中心店)                    正式营业    
580376     580376       象子茶铺茶(贵州黔西南兴义欢乐橙店)                  正式营业    
579883     579883       象子茶铺茶(蒙自南湖荟店)                       正式营业    
578985     578985       象子茶铺茶(昆明财大龙泉路店)                     正式营业    
578904     578904       象子茶铺茶(大理古城二店玉洱路)                    正式营业    
576815     576815       象子茶铺茶(南屏街世纪广场店)                     正式营业    
576814     576814       象子茶铺茶(昆明建工新城店)                      正式营业    
575590     575590       象子茶铺茶(漾濞店)                          正式营业    
575303     575303       象子茶铺茶(大理泰业二店）                       正式营业    
575210     575210       象子茶铺茶(塘子巷店)                         正式营业    
574397     574397       象子茶铺茶(红河泸西店)                        正式营业    
573950     573950       象子茶铺茶(宣威店)                          正式营业    
573949     573949       象子茶铺茶(临沧中骏世界城店)                     正式营业    
573946     573946       象子茶铺茶(孟定店)                          正式营业    
573864     573864       象子茶铺茶(曲靖沾益西正街店)                     正式营业    
573845     573845       象子茶铺茶(毕节店）                          正式营业    
572299     572299       象子茶铺茶(富康城店)                         正式营业    
572298     572298       象子茶铺茶(镇康店)                          正式营业    
571984     571984       象子茶铺茶(园西路店)                         正式营业    
571966     571966       象子茶铺茶(贵州望谟店)                        正式营业    
571428     571428       象子茶铺茶(师宗店)                          正式营业    
570582     570582       象子茶铺茶(东川店)                          正式营业    
570487     570487       象子茶铺茶(丽江旅游学院店)                      正式营业    
570088     570088       象子茶铺茶(开远店)                          正式营业    
568917     568917       象子茶铺茶(曲靖花柯店)                        正式营业    
568351     568351       象子茶铺茶(陆良店)                          正式营业    
568284     568284       象子茶铺茶(西山区好悦天地店)                     正式营业    
567439     567439       象子茶铺茶(广南万象金街店)                      正式营业    
567218     567218       象子茶铺茶(丽江古城店)                        正式营业    
566141     566141       象子茶铺茶(河口店)                          正式营业    
565957     565957       象子茶铺茶(普洱创基店)                        正式营业    
565756     565756       象子茶铺茶(瑞丽德龙珠宝城)                      正式营业    
563517     563517       象子茶铺茶(大理云龙店)                        正式营业    
562972     562972       象子茶铺茶(大理洱源店)                        正式营业    
560933     560933       象子茶铺茶(大理满江店)                        正式营业    
560931     560931       象子茶铺茶(保山潞江坝镇)                       正式营业    
560867     560867       象子茶铺茶(普洱孟连店)                        正式营业    
560858     560858       象子茶铺茶(版纳大润发店)                       正式营业    
558623     558623       象子茶铺茶(版纳曼城店)                        正式营业    
558599     558599       象子茶铺茶(昭通合景广场店)                      正式营业    
558518     558518       象子茶铺茶(黔西文峰路店)                       正式营业    
552146     552146       象子茶铺茶(柏联广场店)                        正式营业    
548737     548737       象子茶铺茶(曲靖会泽店)                        正式营业    
547649     547649       象子茶铺茶(保山东城店)                        正式营业    
546998     546998       象子茶铺茶(香格里拉店)                        正式营业    
546456     546456       象子茶铺茶(凤庆店)                          正式营业    
546452     546452       象子茶铺茶(墨江店)                          正式营业    
545565     545565       象子茶铺茶(绿春店)                          正式营业    
545453     545453       象子茶铺茶(丽江束河古镇店)                      正式营业    
541298     541298       象子茶铺茶(大理剑川店)                        正式营业    
539577     539577       象子茶铺茶(元谋店)                          正式营业    
539571     539571       象子茶铺茶(昭通实验中学店)                      正式营业    
539560     539560       象子茶铺茶(果林广场店)                        正式营业    
539559     539559       象子茶铺茶(宜宾唐人财富中心店)                    正式营业    
539557     539557       象子茶铺茶(宜宾长宁宏泰财富广场店)                  暂停营业    
536207     536207       象子茶铺茶(吴井路店)                         正式营业    
532130     532130       象子茶铺茶(文山光大店)                        正式营业    
531596     531596       象子茶铺茶(万宏国际店)                        正式营业    
531036     531036       象子茶铺茶(建水小桂湖店)                       正式营业    
